time,dk,k,dxi,xi,out
10.832,0,0.0,0.0,0.0,-0.0
10.894,0,0.0,0.0,0.0,-0.0
10.943,0,0.0,-0.0,0.0,-0.0
10.995,0,0.0,-0.0,0.0,-0.0
11.041,0,0.0,-0.0,0.0,-0.0
11.074,0,0.0,-0.0,0.0,-0.0
11.112,0,0.0,-0.0,0.0,-0.0
11.154,0,0.0,-0.0,0.0,-0.0
11.224,0,0.0,0.0,0.0,-0.0
11.282,0,0.0,0.0,0.0,-0.0
11.309,0,0.0,0.0,0.0,-0.0
11.347,0,0.0,0.0,0.0,-0.0
11.384,0,0.0,0.0,0.0,-0.0
11.443,0,0.0,0.0,0.0,-0.0
11.493,0,0.0,0.0,0.0,-0.0
11.521,0,0.0,0.0,0.0,-0.0
11.563,0,0.0,0.0,0.0,-0.0
11.6,0,0.0,0.0,0.0,-0.0
11.661,0,0.0,0.0,0.0,-0.0
11.705,0,0.0,0.0,0.0,-0.0
11.736,0,0.0,0.0,0.0,-0.0
11.763,0,0.0,0.0,0.0,-0.0
11.808,0,0.0,0.0,0.0,-0.0
11.848,0,0.0,0.0,0.0,-0.0
11.86,0,0.0,0.0,0.0,-0.0
11.898,0,0.0,0.0,0.0,-0.0
11.953,0,0.0,0.0,0.0,-0.0
12.004,0,0.0,0.0,0.0,-0.0
12.046,0,0.0,0.0,0.0,-0.0
12.094,0,0.0,0.0,0.0,-0.0
12.133,0,0.0,0.0,0.0,-0.0
12.173,0,0.0,0.0,0.0,-0.0
12.223,0,0.0,-0.0,0.0,-0.0
12.251,0,0.0,-0.0,0.0,-0.0
12.291,0,0.0,-0.0,0.0,-0.0
12.318,0,0.0,-0.0,0.0,-0.0
12.342,0,0.0,-0.0,0.0,-0.0
12.395,0,0.0,-0.0,0.0,-0.0
12.443,0,0.0,-0.0,0.0,-0.0
12.483,0,0.0,-0.0,0.0,-0.0
12.557,0,0.0,-0.0,0.0,-0.0
12.621,0,0.0,-0.0,0.0,-0.0
12.649000000000001,0,0.0,-0.0,0.0,-0.0
12.683,0,0.0,-0.0,0.0,-0.0
12.712,0,0.0,-0.0,0.0,-0.0
12.748,0,0.0,-0.0,0.0,-0.0
12.806000000000001,0,0.0,-0.0,0.0,-0.0
12.844,0,0.0,-0.0,0.0,-0.0
12.868,0,0.0,-0.0,0.0,-0.0
12.895,0,0.0,-0.0,0.0,-0.0
12.927,0,0.0,-0.0,0.0,-0.0
12.96,0,0.0,-0.0,0.0,-0.0
12.99,0,0.0,-0.0,0.0,-0.0
13.038,0,0.0,-0.0,0.0,-0.0
13.069,0,0.0,-0.0,0.0,-0.0
13.118,0,0.0,-0.0,0.0,-0.0
13.158,0,0.0,-0.0,0.0,-0.0
13.213,0,0.0,-0.0,0.0,-0.0
13.29,0,0.0,-0.0,0.0,-0.0
13.33,0,0.0,-0.0,0.0,-0.0
13.403,0,0.0,-0.0,0.0,-0.0
13.444,0,0.0,-0.0,0.0,-0.0
13.477,0,0.0,-0.0,0.0,-0.0
13.532,0,0.0,-0.0,0.0,-0.0
13.563,0,0.0,-0.0,0.0,-0.0
13.605,0,0.0,-0.0,0.0,-0.0
13.648,0,0.0,-0.0,0.0,-0.0
13.68,0,0.0,-0.0,0.0,-0.0
13.731,0,0.0,-0.0,0.0,-0.0
13.776,0,0.0,-0.0,0.0,-0.0
13.828,0,0.0,-0.0,0.0,-0.0
13.854,0,0.0,-0.0,0.0,-0.0
13.9,0,0.0,-0.0,0.0,-0.0
13.987,0,0.0,-0.0,0.0,-0.0
14.031,0,0.0,-0.0,0.0,-0.0
14.095,0,0.0,-0.0,0.0,-0.0
14.15,0,0.0,-0.0,0.0,-0.0
14.191,0,0.0,-0.0,0.0,-0.0
14.21,0,0.0,-0.0,0.0,-0.0
14.267,0,0.0,-0.0,0.0,-0.0
14.342,0,0.0,-0.0,0.0,-0.0
14.389,0,0.0,-0.0,0.0,-0.0
14.419,0,0.0,-0.0,0.0,-0.0
14.472,0,0.0,-0.0,0.0,-0.0
14.529,0,0.0,-0.0,0.0,-0.0
14.555,0,0.0,-0.0,0.0,-0.0
14.586,0,0.0,-0.0,0.0,-0.0
14.657,0,0.0,-0.0,0.0,-0.0
14.687,0.08,0.002399999999999949,-5.853686371166289e-07,-1.7561059113498494e-08,2.8519160000321548e-09
14.743,0.08,0.006880000000000023,-5.069862892767788e-06,-3.0147338110849936e-07,6.107266405294894e-08
14.781,0.08,0.009920000000000045,-1.0540048878776819e-05,-7.019952385020212e-07,1.6768069672356827e-07
14.848,0.08,0.01528000000000006,-2.7644839383826116e-05,-2.554199477218376e-06,6.657772719742317e-07
14.892,0.08,0.018799999999999956,-4.3893042010038014e-05,-4.485493325659992e-06,1.2683559303639197e-06
14.921,0.08,0.02111999999999995,-5.539460529143204e-05,-6.091936879111516e-06,1.7859507209707983e-06
14.957,0.08,0.024000000000000063,-7.492192288545765e-05,-8.789126102988093e-06,2.7121952639617508e-06
14.995,0.08,0.02703999999999994,-9.945945128830239e-05,-1.2568585251943432e-05,4.034724928203715e-06
15.04,0.08,0.03063999999999993,-0.00013335240348063963,-1.8569443408572207e-05,6.140440861371217e-06
15.083,0.08,0.03408000000000001,-0.00016497630807571885,-2.566342465582829e-05,8.550076063957392e-06
15.123,0.08,0.03727999999999994,-0.00020582263870224025,-3.3896330203917725e-05,1.1648429577134973e-05
15.154,0.08,0.03975999999999999,-0.0002438187125481115,-4.145471029290932e-05,1.465884811559173e-05
15.199,0.08,0.04335999999999998,-0.00030163462143829574,-5.502826825763261e-05,1.9867164357826057e-05
15.232,0.08,0.045999999999999944,-0.00033948177735773145,-6.623116691043756e-05,2.3961288789170755e-05
15.279,0.08,0.049759999999999985,-0.00041268387481335474,-8.562730902666548e-05,3.164614923001264e-05
15.322,0.08,0.05319999999999993,-0.000489383612194526,-0.00010667080435102973,4.02437593083059e-05
15.37,0.08,0.05703999999999994,-0.0005828913544669346,-0.00013464958936544263,5.170050258543416e-05
15.42,0.08,0.06104,-0.0006907286602114507,-0.00016918602237601566,6.60240740152202e-05
15.46,0.08,0.06424000000000006,-0.000790756169801322,-0.00020081626916806927,7.976391501283929e-05
15.5,0.08,0.06743999999999999,-0.0008996601498589919,-0.00023680267516242818,9.55872669324388e-05
15.536,0.08,0.07031999999999995,-0.000978131250270987,-0.0002720154001721833,0.00010967154447293832
15.548,0.08,0.07128,-0.0010363068611891821,-0.00028445108250645394,0.00011689971282714125
15.609,0.08,0.07615999999999999,-0.0012184306465937876,-0.00035877535194867494,0.00014882203700488793
15.698,0.08,0.08328000000000003,-0.0014986483695181734,-0.000492155056835793,0.00020516651389362184
15.742,0.08,0.08680000000000009,-0.0016724774526027657,-0.0005657440647503155,0.00023953715288627288
15.785,0.08,0.09024000000000003,-0.0018549599729239179,-0.0006455073435860427,0.0002772827581287423
15.839,0.08,0.09456000000000005,-0.0020876507262126936,-0.0007582404828015287,0.00032976671134850733
15.899000000000001,0.08,0.09936000000000007,-0.002360059047740976,-0.0008998440256659883,0.0003958914914269953
15.946,0.08,0.10311999999999998,-0.00260018165028004,-0.0010220525632291472,0.00045528899715539903
15.977,0.08,0.10560000000000001,-0.0027866358366552125,-0.0011084382741654605,0.0004999948880358999
16.011,0.08,0.10831999999999993,-0.0029935272690492613,-0.0012102182013131323,0.0005521671654547048
16.045,0.08,0.11104000000000012,-0.0031456917216960215,-0.0013171717198508046,0.0006009300941374245
16.08,0.08,0.11383999999999984,-0.0033726191218145045,-0.001435213389114301,0.0006621407241732785
16.144,0.08,0.11895999999999986,-0.0037531110765965494,-0.0016754124980164803,0.0007798101642772836
16.191,0.08,0.1227199999999999,-0.0040668142060008745,-0.0018665527656985237,0.0008774670160228314
16.243,0.08,0.12687999999999985,-0.0044224059149841075,-0.0020965178732776954,0.0009948424801168722
16.279,0.08,0.12975999999999996,-0.0047015477392003124,-0.002265773591888913,0.0010853415032732506
16.313,0.08,0.13247999999999985,-0.004976770624981853,-0.0024349837931382907,0.0011767079287636187
16.351,0.08,0.1355199999999999,-0.005207638318923142,-0.0026328740492573715,0.001273176160076412
16.402,0.08,0.13960000000000003,-0.005607484425290785,-0.0029188557549472125,0.0014237855495570018
16.458,0.08,0.14407999999999985,-0.0060513837333839365,-0.0032577332440166975,0.0016018762336252176
16.511,0.08,0.14831999999999992,-0.006488821018411978,-0.003601640757992538,0.00178474855131572
16.538,0.08,0.15048000000000003,-0.0067526511253581025,-0.003783962338377213,0.0018882665810930675
16.578,0.08,0.15367999999999996,-0.007114399895776886,-0.004068538334208283,0.002044077013920783
16.618,0.08,0.15687999999999988,-0.007413413356210443,-0.004365074868456694,0.0021970152221623142
16.66,0.08,0.16024000000000002,-0.007806348766051205,-0.004692941516630857,0.0023783215962274425
16.706,0.08,0.16391999999999998,-0.008244946960018526,-0.005072209076791704,0.0025887249436972693
16.763,0.08,0.16848000000000016,-0.008789363975831351,-0.0055732028234141105,0.0028656614802100066
16.793,0.08,0.17087999999999995,-0.009120984303846816,-0.005846832352529493,0.0030254470984439424
16.818,0.08,0.17288000000000012,-0.009335331036683724,-0.0060802156284466054,0.0031514569577434618
16.857,0.08,0.17599999999999996,-0.009756514826086117,-0.0064607197066639446,0.0033710908542971254
16.901,0.08,0.17951999999999999,-0.010231512266642222,-0.006910906246396207,0.0036302794711723556
16.96,0.08,0.18424000000000004,-0.01085743369181542,-0.0075514948342133275,0.003995780578372603
17.001,0.08,0.18752000000000005,-0.01132674855501723,-0.008015891524969038,0.004268403189796549
