time,pos_x,pos_y
3224.308,5.0,1.0
3224.359,5.0,1.0
3224.41,5.0,1.0
3224.461,5.0,1.0
3224.512,5.0,1.0
3224.563,5.0,1.0
3224.614,5.0,1.0
3224.665,5.0,1.0
3224.716,5.0,1.0
3224.767,5.0,1.0
3224.818,5.0,1.0
3224.869,5.0,1.0
3224.92,5.0,1.0
3224.971,5.0,1.0
3225.021,5.0,1.0
3225.073,5.0,1.0
3225.124,5.0,1.0
3225.175,5.0,1.0
3225.226,5.0,1.0
3225.277,5.0,1.0
3225.328,5.0,1.0
3225.379,5.0,1.0
3225.43,5.0,1.0
3225.481,5.0,1.0
3225.532,5.0,1.0
3225.583,5.0,1.0
3225.635,5.0,1.0
3225.685,5.0,1.0
3225.736,5.0,1.0
3225.787,5.0,1.0
3225.838,5.0,1.0
3225.889,5.0,1.0
3225.94,5.0,1.0
3225.991,5.0,1.0
3226.042,5.0,1.0
3226.093,5.0,1.0
3226.144,5.0,1.0
3226.195,5.0,1.0
3226.246,5.0,1.0
3226.297,5.0,1.0
3226.348,5.0,1.0
3226.399,5.0,1.0
3226.45,5.0,1.0
3226.501,5.0,1.0
3226.552,5.0,1.0
3226.603,5.0,1.0
3226.654,5.0,1.0
3226.705,5.0,1.0
3226.756,5.0,1.0
3226.807,5.0,1.0
3226.858,5.0,1.0
3226.909,5.0,1.0
3226.96,5.0,1.0
3227.011,5.0,1.0
3227.062,5.0,1.0
3227.113,5.0,1.0
3227.164,5.0,1.0
3227.215,5.0,1.0
3227.266,5.0,1.0
3227.317,5.0,1.0
3227.368,5.0,1.0
3227.419,5.0,1.0
3227.47,5.0,1.0
3227.521,5.0,1.0
3227.572,5.0,1.0
3227.623,5.0,1.0
3227.674,5.0,1.0
3227.725,5.0,1.0
3227.776,5.0,1.0
3227.827,5.0,1.0
3227.878,5.0,1.0
3227.929,5.0,1.0
3227.98,5.0,1.0
3228.031,5.0,1.0
3228.082,5.0,1.0
3228.133,5.0,1.0
3228.184,5.0,1.0
3228.235,5.0,1.0
3228.286,5.0,1.0
3228.337,5.0,1.0
3228.388,5.0,1.0
3228.439,5.0,1.0
3228.49,5.0,1.0
3228.541,5.0,1.0
3228.592,5.0,1.0
3228.643,5.0,1.0
3228.694,5.0,1.0
3228.745,5.0,1.0
3228.796,5.0,1.0
3228.847,5.0,1.0
3228.898,5.0,1.0
3228.949,5.0,1.0
3229.0,5.0,1.0
3229.051,5.0,1.0
3229.102,5.0,1.0
3229.153,5.0,1.0
3229.204,5.0,1.0
3229.255,5.0,1.0
3229.306,5.0,1.0
3229.357,5.0,1.0
3229.408,5.0,1.0
3229.459,5.0,1.0
3229.51,5.0,1.0
3229.561,5.0,1.0
3229.612,5.0,1.0
3229.663,5.0,1.0
3229.714,5.0,1.0
3229.765,5.0,1.0
3229.816,5.0,1.0
3229.867,5.0,1.0
3229.918,5.0,1.0
3229.97,5.0,1.0
3230.02,5.0,1.0
3230.071,5.0,1.0
3230.122,5.0,1.0
3230.173,5.0,1.0
3230.224,5.0,1.0
3230.275,5.0,1.0
3230.326,5.0,1.0
3230.377,5.0,1.0
3230.428,5.0,1.0
3230.479,5.0,1.0
3230.53,5.0,1.0
3230.581,5.0,1.0
3230.632,5.0,1.0
3230.683,5.0,1.0
3230.734,5.0,1.0
3230.785,5.0,1.0
3230.836,5.0,1.0
3230.887,5.0,1.0
3230.938,5.0,1.0
3230.989,5.0,1.0
3231.04,5.0,1.0
3231.091,5.0,1.0
3231.142,5.0,1.0
3231.193,5.0,1.0
3231.244,5.0,1.0
3231.295,5.0,1.0
3231.346,5.0,1.0
3231.397,5.0,1.0
3231.448,5.0,1.0
3231.499,5.0,1.0
3231.55,5.0,1.0
3231.601,5.0,1.0
3231.652,5.0,1.0
3231.703,5.0,1.0
3231.754,5.0,1.0
3231.805,5.0,1.0
3231.855,5.0,1.0
3231.907,5.0,1.0
3231.958,5.0,1.0
3232.009,5.0,1.0
3232.06,5.0,1.0
3232.111,5.0,1.0
3232.162,5.0,1.0
3232.213,5.0,1.0
3232.264,5.0,1.0
3232.315,5.0,1.0
3232.366,5.0,1.0
3232.417,5.0,1.0
3232.468,5.0,1.0
3232.519,5.0,1.0
