time,vel_x,vel_y
3219.255,-1.2139199828888386e-12,1.2528880181548312e-12
3219.276,-3.3583022689970174e-10,4.4816879522332793e-10
3219.303,-3.129453785559409e-09,2.8219552673279476e-09
3219.328,-9.38268388140883e-09,9.145586661389191e-09
3219.354,-2.371509654507413e-08,2.3067573770268728e-08
3219.372,-4.319174015738159e-08,4.177215921350656e-08
3219.396,-7.208176836380677e-08,7.217268446758254e-08
3219.423,-1.1893208691000769e-07,1.2435654257392532e-07
3219.447,-2.035187750612437e-07,1.997711680442099e-07
3219.468,-2.9268577295975993e-07,2.8967824787970505e-07
3219.489,-3.9057269140101955e-07,3.9276502383697235e-07
3219.513,-5.477160536600161e-07,5.438801255534087e-07
3219.54,-7.537658490316435e-07,7.577423359108663e-07
3219.559,-9.671874284224068e-07,9.612641363809043e-07
3219.583,-1.2398215427622968e-06,1.235162116200002e-06
3219.605,-1.522178278502032e-06,1.5310909485640283e-06
3219.63,-1.935222541508127e-06,1.9420946698784e-06
3219.652,-2.322943733632922e-06,2.345938934398435e-06
3219.672,-2.8416165964342646e-06,2.8214424019465138e-06
3219.7,-3.4519876046993774e-06,3.4364322601532295e-06
3219.731,-4.141810497824336e-06,4.1550005879638106e-06
3219.753,-5.089924148862217e-06,5.0998930044324125e-06
3219.779,-6.000065463430473e-06,6.039636637678249e-06
3219.8,-6.985754982793387e-06,6.944102150597724e-06
3219.823,-7.919600065245328e-06,7.88583693565501e-06
3219.843,-9.013488038249099e-06,8.941444043557376e-06
3219.862,-9.984171563995195e-06,1.0022647018069801e-05
3219.88,-1.1143007803092943e-05,1.1122222211926576e-05
3219.907,-1.2744041317797494e-05,1.2727853481853173e-05
3219.925,-1.3983106883185763e-05,1.3969585664925822e-05
3219.944,-1.536732981843178e-05,1.5422081681638066e-05
3219.964,-1.6984084402338328e-05,1.6959377077592585e-05
3219.981,-1.855258583411669e-05,1.8456614099072064e-05
3220.008,-2.058744806572366e-05,2.058734955496071e-05
3220.037,-2.318952583502672e-05,2.3108519329792782e-05
3220.068,-2.626248251678764e-05,2.6377583073947206e-05
3220.09,-2.897414954214562e-05,2.9065600796772152e-05
3220.114,-3.217698941558135e-05,3.2139805470492976e-05
3220.133,-3.492391001865973e-05,3.477532515209464e-05
3220.161,-3.827730079433259e-05,3.828021239541431e-05
3220.191,-4.2525997544316746e-05,4.277820128975055e-05
3220.213,-4.631771482505965e-05,4.622594546559234e-05
3220.24,-5.036602827029622e-05,5.0590798294682286e-05
3220.261,-5.4637573743816344e-05,5.4651947615484104e-05
3220.292,-6.0162681295198924e-05,5.985451733710149e-05
3220.316,-6.60319979120566e-05,6.580141005439872e-05
3220.346,-7.1496731390013e-05,7.168688256537395e-05
3220.371,-7.791796711000336e-05,7.76631424069967e-05
3220.394,-8.368845247354961e-05,8.348800022798702e-05
3220.417,-8.902779218846431e-05,8.909427806995761e-05
3220.449,-9.472541970506e-05,9.642406825163629e-05
3220.473,-0.00010481801402532392,0.00010430759069726336
3220.494,-0.00011085504417780565,0.00011071261602999507
3220.519,-0.00011857529621923975,0.00011846437315889594
3220.537,-0.0001255947955699023,0.0001252020806687644
3220.553,-0.0001307109009683413,0.00013005177268846107
3220.58,-0.0001395267171887478,0.0001393189714096665
3220.614,-0.00015156975512829998,0.0001517283839126716
3220.641,-0.00016192064115902395,0.00016170733893917038
3220.659,-0.00017034806258205053,0.0001701734254202076
3220.679,-0.00017797297144794898,0.0001778271021571048
3220.697,-0.00018678980329382054,0.0001866703755354079
3220.728,-0.00019978067652493003,0.00019969220206050728
3220.752,-0.0002106074915612133,0.00021095447883165533
3220.772,-0.000221075809548868,0.00022090967074894422
3220.795,-0.00023220054408006833,0.00023206721432772936
3220.824,-0.00024806913334931706,0.00024797134272681756
3220.852,-0.0002621935364969524,0.00026163930933664764
3220.87,-0.00027290842940106054,0.0002729907021422096
3220.894,-0.00028706310207526843,0.0002876464081565825
3220.922,-0.0003038421359041808,0.0003032429074630131
3220.951,-0.00032086521172586117,0.00032257913104467693
3220.974,-0.0003383776577927549,0.00033853443225837057
3220.991,-0.0003510090452085067,0.0003504976162807774
3221.002,-0.00035976918143603196,0.00035862049248661294
3221.024,-0.00037412029997037474,0.000374481958731546
3221.044,-0.0003895196622455194,0.0003891534582014213
3221.068,-0.00040587472964305916,0.0004062450885516253
3221.091,-0.0004252025662584291,0.0004248099898915384
3221.121,-0.0004475380593251725,0.0004465436829056324
3221.145,-0.00046769388145992077,0.00046923070199073773
3221.169,-0.0004906914203698792,0.0004896407781477992
3221.19,-0.0005094377374310603,0.0005093928070896921
3221.211,-0.0005276687282245267,0.000527631941623973
3221.234,-0.0005490895534212497,0.0005490603244633174
3221.254,-0.0005667963155897814,0.0005658693216044734
3221.275,-0.0005897596770259262,0.0005890231483106641
3221.298,-0.0006128644901372075,0.0006131741203300141
3221.327,-0.0006411776846369601,0.0006422812185907228
3221.351,-0.000669160055725474,0.0006681243721006222
3221.377,-0.0006948375533053761,0.000696973575611859
3221.398,-0.0007217357882481096,0.000722404618862804
3221.424,-0.0007517832047016317,0.0007512870776770297
3221.466,-0.0007718673081881592,0.0007714445362802514
3221.481,-0.0008320432302851996,0.0008317654484683598
3221.504,-0.0008587457967553126,0.0008585228711155809
3221.525,-0.0008856374921032767,0.0008854567912633806
3221.55,-0.0009175092030756231,0.0009185376143010658
3221.575,-0.0009512702227227083,0.0009520711492825132
3221.598,-0.0009874533219261673,0.000985621671381697
3221.612,-0.0010039937291431774,0.001003784598809781
3221.635,-0.001039223916487633,0.0010377524264245735
3221.651,-0.0010626583669321053,0.0010642842586009223
3221.681,-0.001105950550548508,0.0011071671452333432
3221.701,-0.0011431352810056775,0.001144101905685287
3221.738,-0.001197388331200623,0.001198062724870881
3221.765,-0.0012409821240206905,0.0012415073444259793
3221.789,-0.0012854165888097127,0.0012858256351182514
3221.809,-0.0013255124430198036,0.0013225557300069698
3221.832,-0.0013638788233883011,0.001366405389459064
3221.851,-0.0014058975544766555,0.0014027866745715812
3221.88,-0.0014534886901526915,0.0014510900458096674
3221.908,-0.0015075952832238073,0.0015091339698919469
3221.933,-0.0015603389881205386,0.0015597521077962446
3221.958,-0.0016114259081319864,0.0016091565549823824
3221.983,-0.0016692227989983468,0.0016675076603371386
3222.006,-0.0017102292319084137,0.00171271941483247
3222.032,-0.0017675932450910378,0.001769513304394039
3222.059,-0.0018282415851910358,0.001829707318845135
3222.097,-0.0019130950281188172,0.0019123095015406708
3222.124,-0.0019850339617682924,0.00198229123478856
3222.147,-0.002037001288783048,0.0020370130112266193
3222.174,-0.002102680213517176,0.0021070690045905034
3222.207,-0.002182795098017545,0.0021838790545190504
3222.235,-0.002261957032805756,0.0022604940985640775
3222.255,-0.0023156076683824274,0.0023169611143788868
3222.279,-0.002391878636136695,0.0023881539496617473
3222.3,-0.0024482539829142327,0.0024452044904157803
3222.333,-0.002515023707980312,0.0025177614315090415
3222.351,-0.0026017686893720342,0.0025984565420195897
3222.381,-0.0026382447930422617,0.0026705414996079464
3222.403,-0.0027647079262577124,0.0027536655853394906
3222.421,-0.002813507558631972,0.0028069900103312464
3222.443,-0.002883730771349167,0.002875771237829797
3222.459,-0.002932038155309063,0.002931233704998549
3222.487,-0.0030201864343736068,0.003016830756030495
3222.504,-0.0030772088848983322,0.003071256742617527
3222.519,-0.003137953270557084,0.003132981668811761
3222.545,-0.0032124253154640296,0.003211380031488959
3222.578,-0.0033176154240930032,0.003319639359079235
3222.606,-0.0034222636475919367,0.0034237630820087355
3222.644,-0.0035543658501813163,0.0035524467924221022
3222.663,-0.003628115094683026,0.003626528175398928
3222.685,-0.0037214577752965805,0.0037202095407886313
3222.698,-0.0037744318150546895,0.0037694898421962624
3222.722,-0.0038689491381824507,0.003865100420873619
3222.75,-0.0039649386294969505,0.003968692775135574
3222.768,-0.004045014612498366,0.004044304398817537
3222.791,-0.004116445697732876,0.004111966436534033
3222.815,-0.004224251570927544,0.004232084166984316
3222.837,-0.004324474936580671,0.004326865796796867
3222.866,-0.004447386677698325,0.004449175840537649
3222.885,-0.004554234114057617,0.004551696958952929
3222.916,-0.004673570842901332,0.0046716535190677415
3222.935,-0.004770992061135952,0.0047694380849680204
3222.954,-0.004859245818045965,0.0048579609182237415
3222.972,-0.004939950918487359,0.004938867056541314
3222.993,-0.005052215794879052,0.0050471952766869685
3223.013,-0.005133655017272311,0.005129419570281029
3223.035,-0.005240881200287082,0.0052418519635967315
3223.059,-0.005362780708560069,0.005363537030155123
3223.082,-0.005479476175259747,0.0054755481831844435
3223.109,-0.005608057465333856,0.005609533690648029
3223.138,-0.0057464779399941926,0.005760770087694845
3223.156,-0.005867900551940987,0.005864692602841068
3223.177,-0.005979687362665435,0.005972253475614253
3223.193,-0.006079396466449642,0.006073187494480454
3223.213,-0.006177057119294643,0.00617685021732018
3223.239,-0.006314024653666408,0.006313864061347987
3223.257,-0.0064337231129874065,0.006428444052181761
3223.278,-0.00654445688065863,0.006540091761804275
3223.302,-0.006665676675788813,0.006677574744472574
3223.32,-0.006793464003430872,0.006797709674629742
3223.351,-0.006963042173101357,0.006956459500954398
3223.375,-0.007108938450701858,0.007109163379115229
3223.397,-0.007234855308759754,0.007240695584051364
3223.418,-0.007387243997702816,0.007386236138971353
3223.435,-0.007503008194278192,0.007496256269424622
3223.456,-0.007637288896321526,0.007637584196607041
3223.475,-0.0077486089703558535,0.0077488536031512685
3223.493,-0.007875417549722001,0.007869525128976994
3223.513,-0.008020017853413311,0.00801527931173186
3223.529,-0.008115368747782285,0.008117595043236779
3223.551,-0.008245058167627257,0.008253034325648093
3223.571,-0.0084052151105875,0.00840537252960898
3223.599,-0.008588359946064968,0.00858845184371997
3223.622,-0.008751167852227052,0.008751208237469976
3223.647,-0.008922717673837864,0.008928999493040244
3223.668,-0.00908552120722074,0.009090514255503633
3223.693,-0.009266645684143513,0.009263841961878605
3223.713,-0.009369196062801021,0.009423651940178693
3223.734,-0.009602118321061136,0.009590290868549714
3223.753,-0.0097327817772564,0.009729842313612182
3223.771,-0.009881637939087246,0.009871943689873621
3223.792,-0.010044591939995719,0.010029536735577781
3223.817,-0.01024448770968018,0.010239531469459915
3223.838,-0.010407981659297242,0.010403773317884044
3223.857,-0.010571424372379746,0.010575184270635737
3223.884,-0.010778092383627912,0.010773791539705736
3223.903,-0.01094735549287491,0.010943614200788793
3223.929,-0.011161000525542527,0.011164975659548444
3223.951,-0.011341754655759144,0.01132914401358355
3223.968,-0.011510307056638103,0.011507671243756698
3223.99,-0.01169262041000996,0.01169788272239703
3224.016,-0.01190294576836318,0.011914283745175135
3224.028,-0.012045150793827373,0.012028163643114504
3224.048,-0.01224057130370372,0.012226296064315917
3224.065,-0.012387046195245733,0.0123744602161325
3224.092,-0.012616748291474843,0.012614357309652423
3224.114,-0.012806276430193091,0.012803680383291502
3224.139,-0.013052382308953347,0.01304947024306765
3224.16,-0.013266002439229702,0.013262802646152932
3224.182,-0.0134991151384363,0.013486927254472411
3224.204,-0.013705058283641944,0.013702997234533608
3224.227,-0.013904517353041854,0.01389273315390638
3224.249,-0.014148744917934674,0.01414710602929359
3224.269,-0.014363962397238134,0.014352110553748701
3224.281,-0.01448237390114994,0.014491199371681958
3224.301,-0.014700063259619962,0.014696484733986213
3224.33,-0.014980277470970619,0.014984412261522737
3224.347,-0.015177037079840477,0.01516899285415782
3224.378,-0.01550288768786462,0.015494256812360243
3224.402,-0.015777215658019997,0.015767926558351148
3224.428,-0.016040202232974796,0.01603024218657403
3224.451,-0.016309450273289422,0.01630851323577825
3224.475,-0.01657954179073414,0.01656575511652814
3224.494,-0.01682486375675484,0.016810589189063217
3224.515,-0.017056997364118195,0.017031669355258447
3224.537,-0.01730415690811642,0.017301100931790044
3224.553,-0.0175102175169871,0.01749348351275138
3224.573,-0.017750336530237235,0.017721979815364025
3224.592,-0.01797927380620306,0.017962836048472455
3224.614,-0.018234795700406637,0.018216947110561557
3224.632,-0.01848174262662605,0.018451292666926657
3224.65,-0.018692668981402177,0.018674077285831547
3224.667,-0.018932740836206552,0.018900976243590398
3224.687,-0.019144915289390604,0.01912473645531136
3224.71,-0.01943498542899978,0.019401167545557884
3224.728,-0.01967083702710004,0.019660662218407184
3224.754,-0.020000290623358865,0.019984075664911116
3224.774,-0.020290058887506145,0.02024594162930039
3224.798,-0.02059450238645875,0.020550792717820583
3224.815,-0.02080155295864049,0.02078307538395713
3224.839,-0.02112551183731716,0.02108927149538172
3224.86,-0.021441539174064314,0.021402373246479443
3224.883,-0.021730563997133863,0.02168879191871011
3224.899,-0.021989348200798592,0.021931970764480745
3224.92,-0.02225720619094788,0.022237282282692315
3224.942,-0.022586992486740905,0.022532971551190214
3224.967,-0.02292641765911165,0.02286964654562005
3224.993,-0.02331176378012889,0.023251715623492184
3225.015,-0.023639240135598018,0.023575904522746355
3225.038,-0.023979080635986395,0.023912285236754892
3225.055,-0.024240941692579114,0.02417110824236439
3225.079,-0.02458654090492837,0.024499435155548314
3225.1,-0.024925605886932135,0.02485035296805254
3225.121,-0.02526782415578424,0.0251875851617576
3225.138,-0.025521105666431634,0.02543726061014355
3225.157,-0.025821979973650495,0.025719237327617245
3225.18,-0.026171330585099132,0.026080140208208383
3225.204,-0.02656590635351884,0.026453911060868016
3225.227,-0.026923645750460794,0.026836734793529524
3225.25,-0.027316731473924515,0.0271903713202006
3225.275,-0.027648125478020737,0.027576625292957176
3225.296,-0.028074579192161574,0.027926021337474353
3225.319,-0.02847368854145358,0.0283370248785985
3225.336,-0.028751602996136275,0.028641510461353863
3225.358,-0.02914222437732307,0.028988913416633413
3225.382,-0.029507006166912996,0.029378160442125673
3225.402,-0.029912897808040496,0.029739470891352246
3225.417,-0.03019934032088043,0.03002140253760041
3225.437,-0.03058019468705337,0.030380746489635
3225.455,-0.030895772896646093,0.030692663294856756
3225.475,-0.031247642449766803,0.03105625927872153
3225.505,-0.031740399337359955,0.031536571995238724
3225.528,-0.032147685887007116,0.03193372724611407
3225.545,-0.03252497789484553,0.03228509767487398
3225.571,-0.03298267098398197,0.032765405748773895
3225.598,-0.03347598797874559,0.03321035887504433
3225.618,-0.03382575764090875,0.03357007106982351
3225.641,-0.034271414245783255,0.03402000134951273
3225.659,-0.03469004203433302,0.0344045545958039
3225.677,-0.035045804668368756,0.03476708389298463
3225.697,-0.03544380963701405,0.03513279789225503
3225.722,-0.03591001241070264,0.03560097646513682
3225.744,-0.03637088360790999,0.036027014685624165
3225.765,-0.036772984572383066,0.03641604555681109
3225.788,-0.037220088281734974,0.036848750272261636
3225.805,-0.03765639669214996,0.03725130543078076
3225.831,-0.038115704663317776,0.03771527011240577
3225.856,-0.03867074448432374,0.03825020768858884
3225.886,-0.0391685724098397,0.0387458174088614
3225.907,-0.03968144484888428,0.039270914361518486
3225.931,-0.040262681986176434,0.039762251993992956
3225.951,-0.0406206831118587,0.04016666552896374
3225.973,-0.04119568501950946,0.040650065185211345
3225.991,-0.04166326431053996,0.04108155461467687
3226.002,-0.041914233998032395,0.04132532218051065
3226.015,-0.04218473761347978,0.04158650831458914
3226.038,-0.042624753642321045,0.04204893792858323
3226.062,-0.04324622774630752,0.04259901364331414
3226.086,-0.04371467859319268,0.04306824402883189
3226.11,-0.04424556860580364,0.043612469292279424
3226.137,-0.04490634413458975,0.04421041700646545
3226.162,-0.045448635726022014,0.044682632215047355
3226.178,-0.04586954699211955,0.04510665388634139
3226.197,-0.046331732938435295,0.04554442873184088
3226.22,-0.04688090956374159,0.04608160809288922
3226.242,-0.04739362789419331,0.04658193789523841
3226.266,-0.04802127109990572,0.04710600528979186
3226.287,-0.04851657002005766,0.04759790034122246
3226.308,-0.04902099312912439,0.04811546455711083
3226.331,-0.04962108586973436,0.0486269417800108
3226.358,-0.050200386578199356,0.049192566163076615
3226.376,-0.05085130133620794,0.04975304420394295
3226.398,-0.051354210931554574,0.050249500682663
3226.426,-0.052006402049574824,0.05085546246418529
3226.443,-0.052494091507813145,0.05130958653487598
3226.467,-0.05307087592558771,0.05186844103048595
3226.493,-0.053759678277561125,0.05247972547661722
3226.511,-0.05431188753082737,0.05296951922084479
3226.532,-0.054881806735333605,0.05352212756841915
3226.553,-0.05545111815587973,0.0540473911165698
3226.572,-0.05597274591167895,0.054547995660449426
3226.596,-0.0565970518130365,0.05509447010927288
3226.619,-0.05723131128668829,0.05570078249335651
3226.638,-0.057771819990974166,0.05621450296701859
3226.662,-0.05849099849060313,0.05681961116602298
3226.684,-0.059105005032352664,0.05738013170839076
3226.706,-0.05965552658926446,0.05793125097703386
3226.725,-0.06021570037097465,0.058382793670390405
3226.749,-0.060967126881628926,0.0590677477710391
3226.78,-0.061676159117000265,0.05975902594994019
3226.796,-0.06239152743745043,0.06034728762853153
3226.816,-0.06292366844086052,0.060856206264054725
3226.843,-0.06376088996699186,0.061582418180414655
3226.865,-0.06436019361953066,0.0621246011978587
3226.89,-0.06505999337663189,0.06275154069061158
3226.91,-0.06582806056735908,0.06341690986820853
